"id","assigned_to_cluster","timestamp"
"2251",NA,"2016-09-06 20:22:28"
"2252",NA,"2016-09-06 20:17:09"
"2253",18,"2016-09-06 19:52:01"
"2254",19,"2016-09-06 19:38:57"
"2255",8,"2016-09-06 17:26:11"
"2256",1,"2016-09-06 17:03:22"
"2257",6,"2016-09-06 17:02:58"
"2258",NA,"2016-09-06 16:30:32"
"2259",NA,"2016-09-06 15:39:22"
"2260",NA,"2016-09-06 14:46:56"
"2261",2,"2016-09-06 14:30:00"
"2262",2,"2016-09-06 14:29:46"
"2263",17,"2016-09-06 14:24:38"
"2264",18,"2016-09-06 14:17:46"
"2265",15,"2016-10-08 03:01:39"
"2266",15,"2016-10-08 03:01:24"
"2267",15,"2016-09-07 22:12:57"
"2268",15,"2016-09-07 22:12:50"
"2269",15,"2016-09-07 22:12:45"
"2270",15,"2016-09-06 00:49:56"
"2271",17,"2016-09-06 00:15:56"
"2272",18,"2016-09-05 23:40:13"
"2273",14,"2016-09-05 22:52:54"
"2274",NA,"2016-09-05 22:38:18"
"2275",18,"2016-09-05 21:48:06"
"2276",18,"2016-09-05 21:47:59"
"2277",18,"2016-09-05 21:47:13"
"2278",18,"2016-09-05 21:45:25"
"2279",18,"2016-09-05 21:44:45"
"2280",8,"2016-09-05 18:23:43"
"2281",NA,"2016-09-05 17:03:29"
"2282",2,"2016-09-05 16:34:56"
"2283",17,"2016-09-05 16:31:27"
"2284",18,"2016-09-05 15:51:31"
"2285",6,"2016-09-05 15:07:47"
"2286",NA,"2016-09-05 14:10:14"
"2287",15,"2016-09-05 13:20:44"
"2288",14,"2016-09-05 12:51:37"
"2289",9,"2016-09-05 11:47:59"
"2290",2,"2016-09-05 07:36:51"
"2291",17,"2016-09-05 06:34:47"
"2292",6,"2016-09-05 06:26:12"
"2293",15,"2016-09-05 06:02:58"
"2294",18,"2016-09-05 06:00:28"
"2295",1,"2016-09-05 05:57:01"
"2296",12,"2016-09-05 05:39:54"
"2297",14,"2016-09-05 05:36:45"
"2298",7,"2016-09-05 05:26:15"
"2299",5,"2016-09-05 04:56:17"
"2300",16,"2016-09-05 02:23:55"
"2301",14,"2016-09-05 01:10:40"
"2302",6,"2016-09-04 23:42:57"
"2303",1,"2016-09-04 22:27:28"
"2304",1,"2016-09-04 20:56:47"
