"id","assigned_to_cluster","timestamp","lon","lat"
"2120",4,"2016-09-09 20:31:58",-47.9366659,-19.7508329
"2119",NA,"2016-09-09 20:35:55",-64.1833189,-31.417339
"2118",5,"2016-09-09 20:37:54",-43.3501128,-21.7609532
"2117",5,"2016-09-09 20:40:28",-43.3501128,-21.7609532
"2116",5,"2016-09-09 20:41:43",-43.3501128,-21.7609532
"2115",NA,"2016-09-09 22:12:22",-43.2265669,-19.6186314
"2114",NA,"2016-09-09 22:14:17",-43.2265669,-19.6186314
"2113",NA,"2016-09-09 22:36:56",-99.3568073324691,19.37093275
"2112",3,"2016-09-09 23:09:20",-46.6333823,-23.5506506
"2111",3,"2016-09-10 00:33:01",-46.5244589,-23.4430601
"2110",3,"2016-09-10 00:43:29",-46.6333823,-23.5506506
"2109",NA,"2016-09-10 01:40:10",-103.925661301559,19.32658855
"2108",NA,"2016-09-10 02:52:04",-43.9450947,-19.9227317
"2107",NA,"2016-09-10 03:20:23",-55.8333329,-26.8333329
"2106",NA,"2016-09-10 03:56:11",-103.220358456075,20.27976445
"2105",2,"2016-09-10 04:01:04",-49.2712361,-25.4295696
"2104",5,"2016-09-10 04:32:34",-43.2093726,-22.9110136
"2103",NA,"2016-09-10 04:44:02",-53.1999999,-10.3333332
"2102",NA,"2016-09-10 04:45:05",-53.1999999,-10.3333332
"2101",NA,"2016-09-10 04:47:23",-53.1999999,-10.3333332
"2100",NA,"2016-09-10 05:09:41",-57.4999999,-25.4999999
"2099",NA,"2016-09-10 05:40:12",-87.0750071863356,20.98154135
"2098",3,"2016-09-10 07:26:56",-46.6333823,-23.5506506
"2097",NA,"2016-09-10 10:32:57",-54.3365607,-34.4810094
"2096",NA,"2016-09-10 12:01:45",-66.9146016,10.506098
"2095",1,"2016-09-10 13:29:52",-50.3431619,-21.2910339
"2094",3,"2016-09-10 14:14:34",-46.6333823,-23.5506506
"2093",NA,"2016-09-10 14:40:22",-81.3066245,8.3096067
"2092",1,"2016-09-10 15:26:39",-50.3431619,-21.2910339
"2091",NA,"2016-09-10 15:57:54",-67.3318346,10.2275043
"2090",NA,"2016-09-10 16:23:57",-57.4999999,-25.4999999
"2089",NA,"2016-09-10 16:25:22",-35.2080904,-5.8053979
"2088",NA,"2016-09-10 17:01:37",-77.3947692,18.1850507
"2087",4,"2016-09-10 17:42:36",-49.253269,-16.6808819
"2086",NA,"2016-09-10 18:04:36",-66.8086249,10.4772529
"2085",2,"2016-09-10 19:07:44",-49.4858388,-28.9348831
"2084",NA,"2016-09-10 19:23:27",-99.1333415,19.4326009
"2083",NA,"2016-09-10 19:27:37",-55.8333329,-26.8333329
"2082",NA,"2016-09-10 20:06:08",-89.6236999,20.9671405
"2081",NA,"2016-09-10 20:31:09",-84.5978533,15.0610686
"2080",NA,"2016-09-10 20:49:00",-89.6236999,20.9671405
"2079",NA,"2016-09-10 22:51:19",-103.3469981,20.676143
"2078",2,"2016-09-11 00:45:30",-49.2712361,-25.4295696
"2077",NA,"2016-09-11 01:25:52",-76.7986428,-11.3722472
"2076",NA,"2016-09-11 02:22:01",-103.126092797611,21.3780994
"2075",NA,"2016-09-11 02:27:56",-89.8988086,15.6356088
"2074",3,"2016-09-11 03:28:35",-46.8764611,-23.5112183
"2073",NA,"2016-09-11 03:50:43",-89.6236999,20.9671405
"2072",NA,"2016-09-11 03:54:34",-66.1109317,8.0018709
"2071",NA,"2016-09-11 03:58:35",-103.3469981,20.676143
"2070",3,"2016-09-11 04:24:09",-46.6333823,-23.5506506
"2069",NA,"2016-09-11 04:36:13",-74.8086459830206,11.01184845
"2068",NA,"2016-09-11 04:45:36",-74.8086459830206,11.01184845
"2067",NA,"2016-09-11 04:49:37",-66.1109317,8.0018709
"2066",NA,"2016-09-11 05:22:02",-53.1999999,-10.3333332
"2065",5,"2016-09-11 06:40:39",-43.2093726,-22.9110136
"2064",NA,"2016-09-11 07:14:09",-89.6236999,20.9671405
"2063",NA,"2016-09-11 08:14:59",-77.0354442491925,-12.0203012
"2062",NA,"2016-09-11 10:08:40",-77.0354442491925,-12.0203012
"2061",NA,"2016-09-11 10:41:10",-58.4375796,-34.6075797
"2060",3,"2016-09-11 12:23:12",-46.6333823,-23.5506506
"2059",5,"2016-09-11 15:14:23",-43.1154551,-22.883237
"2058",NA,"2016-09-11 15:45:19",-74.085237657545,4.63874255
"2057",3,"2016-09-11 16:47:21",-49.3804211,-20.812585
"2056",3,"2016-09-11 17:23:45",-47.806667,-21.1783329
"2055",3,"2016-09-11 17:26:41",-46.6333823,-23.5506506
"2054",NA,"2016-09-11 17:26:47",-74.085237657545,4.63874255
"2053",NA,"2016-09-11 17:36:57",-74.085237657545,4.63874255
"2052",5,"2016-09-11 17:53:41",-43.2093726,-22.9110136
"2051",3,"2016-09-11 18:28:12",-47.806667,-21.1783329
"2050",NA,"2016-09-11 18:31:03",-35.8771291,-7.2246742
"2049",5,"2016-09-11 19:51:17",-43.1154551,-22.883237
"2048",3,"2016-09-11 20:00:28",-46.6333823,-23.5506506
"2047",3,"2016-09-11 21:31:03",-46.6333823,-23.5506506
"2046",2,"2016-09-11 21:57:55",-48.6339781,-26.9924394
"2045",NA,"2016-09-11 23:12:28",-65.4101932,-24.7893822
"2044",NA,"2016-09-11 23:39:24",-44.0840952,-19.9132748
"2043",NA,"2016-09-12 00:04:58",-58.566131,-34.6073659
"2042",5,"2016-09-12 01:27:48",-42.3663889,-21.1305559
"2041",NA,"2016-09-12 01:55:34",-61.5650443,16.2490067
"2040",1,"2016-09-12 02:13:04",-51.1595022,-23.3112877
"2039",NA,"2016-09-12 02:38:02",-43.9450947,-19.9227317
"2038",4,"2016-09-12 03:35:37",-48.9525755,-16.3332827
"2037",NA,"2016-09-12 03:36:36",-103.387786359274,19.169313
"2036",NA,"2016-09-12 04:03:19",-56.0351418,-28.5497033
"2035",NA,"2016-09-12 05:10:12",-54.4315256,-26.7372239
"2034",NA,"2016-09-12 05:28:15",-103.925661301559,19.32658855
"2033",5,"2016-09-12 05:52:23",-43.2093726,-22.9110136
"2032",NA,"2016-09-12 06:11:23",-74.085237657545,4.63874255
"2031",3,"2016-09-12 06:47:28",-46.6333823,-23.5506506
"2030",NA,"2016-09-12 07:04:21",-58.4020374,-34.7573681
"2029",NA,"2016-09-12 12:50:47",-61.8222515,17.079128
"2028",NA,"2016-09-12 12:51:42",-89.9430807706679,19.33157265
"2027",NA,"2016-09-12 13:52:48",-57.9537637,-34.9206796
"2026",NA,"2016-09-12 14:25:11",-84.0795781,9.9325427
"2025",NA,"2016-09-12 14:26:01",-99.4177777597143,19.2587373
"2024",NA,"2016-09-12 15:13:48",-84.0795781,9.9325427
"2023",NA,"2016-09-12 15:19:44",-43.9450947,-19.9227317
"2022",3,"2016-09-12 15:41:43",-46.9338889,-23.5488799
"2021",5,"2016-09-12 17:05:08",-43.1154551,-22.883237
"2020",NA,"2016-09-12 17:32:38",-70.3028025,19.0974031
"2019",NA,"2016-09-12 19:20:19",-57.9537637,-34.9206796
"2018",NA,"2016-09-12 19:44:44",-43.9450947,-19.9227317
"2017",NA,"2016-09-12 19:45:00",-60.3855888,-36.3789924
"2016",NA,"2016-09-12 20:07:21",-100.5,22.5000001
"2015",NA,"2016-09-12 20:21:33",-74.085237657545,4.63874255
"2014",NA,"2016-09-12 20:57:36",-60.4289717,-24.5955305
"2013",NA,"2016-09-12 21:02:00",-66.1109317,8.0018709
"2012",3,"2016-09-12 21:10:06",-48.8319029,-21.7562299
"2011",NA,"2016-09-12 21:21:52",-58.1693444,-23.3165934
"2010",NA,"2016-09-12 21:25:53",-55.8939676,-27.3664866
"2009",NA,"2016-09-12 22:08:01",-60.9821066,10.8677845
"2008",3,"2016-09-12 22:57:33",-46.1909468,-23.5241171
"2007",3,"2016-09-12 22:58:33",-46.1909468,-23.5241171
"2006",5,"2016-09-13 00:01:08",-44.8912499,-20.1434558
"2005",NA,"2016-09-13 00:33:23",-59.3539577,-31.6252841
"2004",5,"2016-09-13 01:14:23",-41.7866921,-22.3712957
"2003",5,"2016-09-13 01:27:10",-43.2093726,-22.9110136
"2002",NA,"2016-09-13 01:36:15",-53.1999999,-10.3333332
"2001",NA,"2016-09-13 01:48:36",-75.5735529,6.2443382
