"id","assigned_to_cluster","timestamp","lon","lat",
"998",4,"2016-10-24 19:22:34",-58.4375796,-34.6075797,
"997",4,"2016-10-24 20:33:26",-58.4375796,-34.6075797,
"996",NA,"2016-10-24 20:47:17",-84.8700307,12.3724928,
"995",NA,"2016-10-24 21:56:56",-64.9912285,-17.0568695,
"994",12,"2016-10-24 22:13:39",-43.2093726,-22.9110136,
"993",NA,"2016-10-24 22:40:41",-89.6236999,20.9671405,
"992",NA,"2016-10-24 23:02:44",-84.8700307,12.3724928,
"991",13,"2016-10-24 23:35:28",-43.9450947,-19.9227317,
"990",5,"2016-10-25 00:41:17",-55.8939676,-27.3664866,
"989",NA,"2016-10-25 01:27:41",-84.5978533,15.0610686,
"988",NA,"2016-10-25 13:42:34",-63.0051792436782,-40.81414705,
"987",5,"2016-10-25 13:50:16",-58.8328657,-27.4720341,
"986",2,"2016-10-25 14:00:04",-64.1833189,-31.417339,
"985",2,"2016-10-25 14:42:37",-61.4916757,-31.2526922,
"984",12,"2016-10-25 15:07:58",-43.3501128,-21.7609532,
"983",NA,"2016-10-25 15:49:28",-89.8988086,15.6356088,
"982",NA,"2016-10-25 15:50:04",-64.9912285,-17.0568695,
"981",NA,"2016-10-25 16:44:48",-65.4101932,-24.7893822,
"980",NA,"2016-10-25 16:51:07",-99.1333415,19.4326009,
"979",2,"2016-10-25 17:22:26",-64.9672816,-34.9964962,
"978",12,"2016-10-25 17:32:23",-43.1154551,-22.883237,
"977",NA,"2016-10-25 17:41:11",-71.9542393966085,-13.53030755,
"976",8,"2016-10-25 17:42:25",-54.6162946,-20.4640172,
"975",NA,"2016-10-25 17:46:06",-81.3066245,8.3096067,
"974",NA,"2016-10-25 17:54:55",-64.9912285,-17.0568695,
"973",12,"2016-10-25 18:07:13",-42.0189226,-22.8804368,
"972",12,"2016-10-25 18:29:49",-43.2093726,-22.9110136,
"971",8,"2016-10-25 18:35:27",-53.5120467,-24.4054825,
"970",NA,"2016-10-25 18:48:22",-75.0458514,-6.8699696,
"969",5,"2016-10-25 19:13:43",-57.6311195,-25.2959915,
"968",NA,"2016-10-25 19:26:35",-84.8700307,12.3724928,
"967",12,"2016-10-25 19:46:31",-43.3501128,-21.7609532,
"966",4,"2016-10-25 20:37:16",-58.4375796,-34.6075797,
"965",NA,"2016-10-25 21:00:32",-66.1109317,8.0018709,
"964",NA,"2016-10-25 21:19:38",-58.1693444,-23.3165934,
"963",4,"2016-10-25 22:12:10",-56.5921794,-34.5187388,
"962",12,"2016-10-25 22:48:51",-43.2093726,-22.9110136,
"961",NA,"2016-10-26 00:03:06",-34.8781516,-8.064193,
"960",12,"2016-10-26 00:13:47",-43.2093726,-22.9110136,
"959",12,"2016-10-26 00:37:39",-43.2093726,-22.9110136,
"958",NA,"2016-10-26 00:46:02",-70.3028025,19.0974031,
"957",12,"2016-10-26 00:54:53",-43.3121257,-22.9111427,
"956",12,"2016-10-26 00:57:54",-43.2093726,-22.9110136,
"955",NA,"2016-10-26 01:31:48",-92.7747840052769,18.0271663,
"954",NA,"2016-10-26 01:51:00",-59.9864061,-3.1319514,
"953",NA,"2016-10-26 12:43:58",-38.4812771,-12.9822498,
"952",12,"2016-10-26 12:56:52",-42.8815887,-20.7538585,
"951",4,"2016-10-26 13:05:46",-58.4375796,-34.6075797,
"950",2,"2016-10-26 13:54:43",-60.6430356770138,-31.64727895,
"949",NA,"2016-10-26 14:24:57",-63.0051792436782,-40.81414705,
